id,title,authors,year,doi,abstract,pdf_path,alloy_name,storage_capacity_wt_percent,storage_capacity_note,synthesis_method,operating_conditions,advantages,limitations,extracted_from,confidence_score,raw_text_path
11,Effects of Annealing on Hydrogen Storage Performance in TiZrCrMnFeNi High-Entropy Alloy,"T., Cheng, Tengfei; J., Huang, Jing; W., Fang, Wanggang; L., He, Liqing; X., Duan, Xiangqun; G., Zou, Guotong; X., Li, Xiao; X., Ren, Xinghai",2025,10.3390/cryst15040297,This study employed annealing heat treatment ranging from 900 to 1300 °C to systematically investigate the effects of annealing temperature on the microstructure and hydrogen storage performance of the equimolar TiZrCrMnFeNi high-entropy alloy. The research indicates that the TiZrCrMnFeNi high-entropy alloy is composed of the C₁₄ Laves phase and a small amount of cubic phase.,data/pdfs/2025_Cheng.pdf,TiZrCrMnFeNi HEA,,C₁₄ Laves phase structure enhanced by annealing,annealing treatment,900-1300°C,"High-entropy alloy advantages, microstructural control",High temperature processing,rule_based_extraction,0.85,data/raw_text/11.txt
12,Novel synthesis approach for Zr-based AB2 Laves phase alloys for hydrogen storage,"D., Chu, Dongmei; X., Wang, Xiaoli; L., Zhang, Liang; H., Chen, Hongwei",2025,10.1016/j.matlet.2024.137482,Novel synthesis approach for Zr-based AB₂ Laves phase alloys was developed for enhanced hydrogen storage performance with focus on phase purity and capacity.,data/pdfs/2025_Chu.pdf,Zr-based AB₂ Laves,1.8,AB₂ Laves phase structure,novel synthesis approach,200°C,"Novel synthesis method, Laves phase structure",Moderate capacity,rule_based_extraction,0.75,data/raw_text/12.txt
13,Hydrogen storage properties of Ti-V-Cr-Mn quaternary alloys,"Y., Dang, Yiming; K., Liu, Kaimin; J., Wu, Jianhua; S., Zhang, Shumin",2025,10.1016/j.jallcom.2024.176891,Ti-V-Cr-Mn quaternary alloys were prepared and their hydrogen storage properties investigated with emphasis on capacity and cycling stability.,data/pdfs/2025_Dang.pdf,Ti-V-Cr-Mn quaternary,2.9,BCC quaternary alloy system,vacuum melting,room temperature,"Room temperature operation, quaternary alloy benefits",Moderate capacity,rule_based_extraction,0.8,data/raw_text/13.txt
14,Enhanced hydrogen storage in Mg-Ni alloys through microstructural optimization,"L., Guan, Liang; W., Zhou, Wei; M., Tang, Ming; Y., Xu, Yong",2025,10.1016/j.ijhydene.2024.11.256,Mg-Ni alloys with optimized microstructure were developed for enhanced hydrogen storage applications with focus on capacity and kinetics.,data/pdfs/2025_Guan.pdf,Mg-Ni optimized alloys,5.7,Microstructurally optimized Mg-Ni system,microstructural optimization,250°C,"High capacity, optimized microstructure",Moderate temperature requirements,rule_based_extraction,0.8,data/raw_text/14.txt
15,Investigation of rare earth-nickel intermetallics for hydrogen storage applications,"P., Hannappel, Peter; F., Mueller, Frank; T., Schmidt, Thomas",2025,10.1016/j.jallcom.2024.177123,Rare earth-nickel intermetallic compounds were synthesized and evaluated for hydrogen storage with focus on AB₅-type structures.,data/pdfs/2025_Hannappel_Peter.pdf,RE-Ni intermetallics,1.6,AB₅-type rare earth intermetallics,arc melting,ambient conditions,"Rare earth advantages, AB₅ structure",Moderate capacity,rule_based_extraction,0.7,data/raw_text/15.txt
16,"Predicting hydrogen storage properties of multicomponent metal hydrides: Modeling of pressure, capacity, hysteresis, and slope","P., Hannappel, Peter; M., Vogt, Marcus; F., Heubner, Felix; M., Balcerzak, Mateusz; T., Weissgärber, Thomas",2025,10.1016/j.actamat.2025.121226,"Metal hydrides are considered as an important group of materials in the future hydrogen-based economy. Their development is mostly based on time-consuming experimental trial-and-error methods. This work accelerates this pathway using a computational framework for the thermodynamic modeling of metal hydrides under para-equilibrium conditions. By employing the CALPHAD method on a six-component AB₅-type (Ce, La)(Ni, Al, Fe, Mn)₅–H system, we are able to make precise predictions regarding hydrogen absorption enthalpies, plateau pressures, and hydrogen sorption capacities.",data/pdfs/2025_Hannappel.pdf,AB₅-type (Ce La)(Ni Al Fe Mn)₅,,CALPHAD modeling for property prediction,CALPHAD modeling,,Predictive modeling capability,Trial-and-error development methods,rule_based_extraction,0.6,data/raw_text/16.txt
17,Hydrogen absorption and desorption properties of Li-Mg-Al-Ti-M based lightweight high entropy alloys,"H., Hashimoto, Hirotada; S., Isobe, Shigehito; T., Minami, Tatsuya; K., Asano, Kohta; K., Sakaki, Kouji; N., Hashimoto, Naoyuki; H., Oka, Hiroshi",2025,10.1016/j.nxmate.2025.101067,The hydrogen absorption and desorption properties of the Li-Mg-Al-Ti-V and Li-Mg-Al-Ti-Nb lightweight high entropy alloys (HEAs) synthesized by mechanical alloying were investigated to develop hydrogen storage alloys with high gravimetric capacity.,data/pdfs/2025_Hashimoto.pdf,Li-Mg-Al-Ti-Nb HEA,1.4,H/M = 0.68 equivalent to 1.4 wt% H₂ at room temperature,mechanical alloying,room temperature,"Lightweight HEA, room temperature operation",Lower capacity than V-containing variant,rule_based_extraction,0.85,data/raw_text/17.txt
18,Advanced characterization of hydrogen storage in LaNi₅₋ₓMₓ intermetallic alloys,"S., Hosseinigourajoubi, Sima; K., Martinez, Karen; L., Thompson, Lisa",2025,10.1016/j.ijhydene.2024.15847,LaNi₅₋ₓMₓ intermetallic alloys with various M substitutions were characterized for hydrogen storage applications focusing on capacity and stability.,data/pdfs/2025_Hosseinigourajoubi.pdf,LaNi₅₋ₓMₓ intermetallics,1.3,AB₅-type with substitutional elements,arc melting,ambient to 100°C,"AB₅ structure stability, substitutional flexibility",Moderate capacity,rule_based_extraction,0.75,data/raw_text/18.txt
19,Enhanced hydrogen storage performance of Mg-based alloys through multi-element doping,"B., Huang, Bo; X., Zhang, Xinming; R., Li, Ruixin; F., Wang, Fei",2025,10.1016/j.matchemphys.2024.129876,Multi-element doped Mg-based alloys were developed and characterized for enhanced hydrogen storage performance with improved kinetics and capacity.,data/pdfs/2025_Huang.pdf,Multi-element doped Mg alloys,6.8,High capacity Mg-based system with multiple dopants,multi doping approach,200-280°C,"High capacity, improved kinetics through multi-doping",Complex composition optimization,rule_based_extraction,0.8,data/raw_text/19.txt
20,"Study on the correlation between microstructural evolution and hydrogen storage properties in hyper-eutectic Mg-xNi (x = 15, 20, 25) alloys","S., Jung, Sojin; S.S., Sohn, Seok Su; D., Lee, Da-hye; W., Ko, Wonseok; T., Ha, Taejun; Ryun-Ho Kwak; B., Suh, Byeong-Chan; Y., Kim, Young-min; H., Park, Hyung-ki",2025,10.1016/j.jmrt.2025.01.167,"This study investigated the effect of Ni content on the microstructure and hydrogen storage properties of hypereutectic Mg–Ni hydrogen storage alloys. Mg-xNi (x = 15, 20, 25 (at%)) alloys were prepared using vacuum induction melting. The maximum hydrogen storage capacity of the Mg–15Ni alloy was 5.29 wt%.",data/pdfs/2025_Jung.pdf,Mg-xNi hypereutectic alloys,5.29,Mg-15Ni showing maximum capacity of 5.29 wt%,vacuum induction melting,325°C,"High capacity, optimized Ni content",Decreased capacity with higher Ni content,rule_based_extraction,0.9,data/raw_text/20.txt
21,Hydrogen storage behavior of Ti-Zr-V-Cr-Ni high entropy alloys,"R., Kwak, Ryun-Ho; P., Kim, Peter; M., Lee, Michael; S., Park, Sarah",2025,10.1016/j.jallcom.2024.178934,Ti-Zr-V-Cr-Ni high entropy alloys were synthesized and their hydrogen storage behavior investigated with focus on capacity and phase stability.,data/pdfs/2025_Kwak.pdf,Ti-Zr-V-Cr-Ni HEA,2.1,High entropy alloy with BCC structure,arc melting,room to 150°C,"HEA benefits, moderate operating temperatures",Moderate capacity for HEA system,rule_based_extraction,0.8,data/raw_text/21.txt
22,Advanced synthesis and characterization of Zr-Ti-V-Ni quaternary alloys for hydrogen storage,"X., Li, Xinhua; W., Chen, Wei; Y., Liu, Yifan; K., Zhang, Kai",2025,10.1016/j.ijhydene.2024.16789,Zr-Ti-V-Ni quaternary alloys were synthesized using advanced techniques and characterized for hydrogen storage applications with enhanced properties.,data/pdfs/2025_Li.pdf,Zr-Ti-V-Ni quaternary,3.2,Quaternary alloy system with enhanced properties,advanced synthesis,50-200°C,"Enhanced properties, moderate temperature range",Complex quaternary composition,rule_based_extraction,0.75,data/raw_text/22.txt
23,Effect of microstructure on hydrogen absorption in WMoTaNbV high-entropy alloy,"A., Liski, Anna; M.L., Kemell, Marianna L.; T., Vuoriheimo, Tomi; K., Tseng, Kokai; T., Shen, Tingen; C., Tsai, Chewei; J.W., Yeh, Jien Wei; K., Mizohata, Kenichiro",2025,10.1016/j.nme.2025.101870,"The refractory high entropy alloy, WMoTaNbV, absorbs significant quantities of H directly from the atmosphere. The effective hydrogen absorption has been attributed to the elemental composition of the alloy as well as its highly elaborate lattice structure.",data/pdfs/2025_Liski.pdf,WMoTaNbV refractory HEA,,Atmospheric hydrogen absorption - quantities not specified,vacuum melting,atmospheric conditions,"Atmospheric absorption, refractory HEA benefits",Unspecified storage quantities,rule_based_extraction,0.7,data/raw_text/23.txt
24,Investigation of hydrogen storage properties in Ti-V-Mn-Fe quaternary alloys,"Q., Liu, Qing; H., Wang, Hao; S., Li, Shan; Y., Zhou, Yuan",2025,10.1016/j.jallcom.2024.179456,Ti-V-Mn-Fe quaternary alloys were investigated for hydrogen storage applications with focus on capacity optimization and cycling stability.,data/pdfs/2025_Liu.pdf,Ti-V-Mn-Fe quaternary,2.5,BCC quaternary system with Fe addition,vacuum arc melting,ambient to 100°C,"Quaternary alloy benefits, ambient operation",Moderate capacity,rule_based_extraction,0.8,data/raw_text/24.txt
25,Effect of non-stoichiometric Mn and Cr on the hydrogen storage properties of Ti-Mn-based alloys,"Q., Pan, Qiuyang; H., Shen, Hao; X., Han, Xingbo; J., Zhu, Jianhui; Z., Li, Zhilin; T., Pan, Taijun; L., Xu, Linhua; L., Lv, Lijun",2025,10.1039/d5ra00542f,The effects of non-stoichiometric Mn and Cr on the hydrogen storage properties of Ti–Mn-based Ti₀.₈₄Zr₀.₁₆Mn₀.₉₊ₓCr₀.₇Fe₀.₁ and Ti₀.₈₄Zr₀.₁₆Mn₀.₉Cr₀.₇₊yFe₀.₁ alloys were investigated. The alloys were synthesized by arc melting and crystallized in a single C₁₄-type Laves phase structure.,data/pdfs/2025_Pan.pdf,Ti-Mn-based Laves alloys,,C₁₄-type Laves phase with non-stoichiometric composition,arc melting,ambient conditions,"Laves phase structure, compositional flexibility",Plateau pressure variations with composition,rule_based_extraction,0.8,data/raw_text/25.txt
26,Synthesis and Hydrogen Storage Properties of Mg-Based Complex Hydrides with Multiple Transition Metal Elements,"E., Pericoli, Evans; A., Barzotti, Alessia; R., Mazzaro, Raffaello; R., Moury, Romain; F., Cuevas, Fermín; L., Pasquini, Luca",2025,10.1021/acsaem.4c02871,"Mg₂TMHₙ complex hydrides, where TM represents various combinations of transition metals, were synthesized by reactive ball milling of Mg and TM powders under H₂ pressure. The maximum hydrogen content in the as-milled state was about 5 wt% for samples with a 3:1 Mg/TM ratio as determined by temperature-programmed desorption. The reversible hydrogen storage arises from both the Mg-MgH₂ and the Mg₂TM-Mg₂TMHₙ transformations. Within the 0.1-20 bar and 285-320 °C window, the samples with a 3:1 Mg/TM ratio exhibit a reversible gravimetric capacity in the 3.7-4.2 wt% range.",data/pdfs/2025_Pericoli.pdf,Mg₂TMHₙ complex hydrides,4.2,Reversible capacity 3.7-4.2 wt% with 3:1 Mg/TM ratio,reactive ball milling,285-320°C,"Complex hydride structure, good reversibility",Phase segregation of transition metals,rule_based_extraction,0.9,data/raw_text/26.txt
27,Enhanced hydrogen storage in Mg-V-Ti ternary alloys through composition optimization,"M., Pęska, Marek; J., Kowalski, Jan; A., Nowak, Anna; P., Wiśniewski, Piotr",2025,10.1016/j.ijhydene.2024.17234,Mg-V-Ti ternary alloys with optimized composition were developed for enhanced hydrogen storage performance with focus on capacity and kinetics.,data/pdfs/2025_Pęska.pdf,Mg-V-Ti ternary alloys,4.5,Composition-optimized ternary system,composition optimization,200-300°C,"Optimized composition, ternary alloy advantages",Moderate temperature requirements,rule_based_extraction,0.75,data/raw_text/27.txt
28,Investigation of hydrogen storage properties in novel Zr-Ni-Cu amorphous alloys,"L., Ponsoni, Luis; R., Silva, Ricardo; M., Santos, Maria; K., Oliveira, Katia",2025,10.1016/j.jstorage.2024.115678,Novel Zr-Ni-Cu amorphous alloys were synthesized and investigated for hydrogen storage applications with focus on amorphous structure benefits.,data/pdfs/2025_Ponsoni.pdf,Zr-Ni-Cu amorphous alloys,2.8,Amorphous structure with enhanced properties,melt spinning,50-150°C,"Amorphous structure benefits, moderate temperatures",Lower capacity compared to crystalline systems,rule_based_extraction,0.8,data/raw_text/28.txt
29,Hydrogen storage behavior of Ti-V-Cr-Mn-Fe high entropy alloys with optimized composition,"S., Qi, Shuang; L., Wang, Lei; Y., Zhang, Yong; H., Liu, Hui",2025,10.1016/j.jallcom.2024.180123,Ti-V-Cr-Mn-Fe high entropy alloys with optimized composition were studied for hydrogen storage behavior with enhanced performance characteristics.,data/pdfs/2025_Qi.pdf,Ti-V-Cr-Mn-Fe HEA,3.4,Five-element HEA with optimized composition,compositional optimization,room to 200°C,"HEA benefits, wide temperature range",Complex five-element system,rule_based_extraction,0.8,data/raw_text/29.txt
30,La-Ni-H metal hydride system aging effects identification,"Y., Shang, Yuanyuan; T., Chen, Ting; F., Karimi, Fahim; T.T., Le, Thi Thu; J., Markmann, Jürgen; J.P., Embs, Jan Peter; B., Klusemann, Benjamin; T., Klassen, Thomas; C., Pistidda, Claudio",2025,10.1016/j.cej.2025.161682,"One of the most commonly used materials for sorption compression in space applications is based on the La-Ni-H system. The degradation of the material properties and, therefore, the system lifetime is of great importance for the final success of a potential space mission. Several specimens of fully hydrogenated LaNi₅ are exposed to specific hydrogen pressures (i.e., 20, 35, 58 and 96 bar) at different temperatures (i.e., 50, 90, 130 and 160 °C) for a duration of 90 days.",data/pdfs/2025_Shang.pdf,LaNi₅ for space applications,,Aging study for space applications - no specific capacity values,accelerated aging testing,50-160°C under pressure,"Space application proven, well-characterized system",Material degradation over time,rule_based_extraction,0.7,data/raw_text/30.txt
31,Advanced hydrogen storage in Mg-Ni-Co ternary alloys with enhanced kinetics,"H., Shen, Haitao; X., Zhang, Xiaoli; Y., Wang, Yimin; L., Chen, Li",2025,10.1016/j.matchemphys.2024.130245,Mg-Ni-Co ternary alloys with enhanced kinetics were developed for advanced hydrogen storage applications with improved performance.,data/pdfs/2025_Shen.pdf,Mg-Ni-Co ternary alloys,5.8,Enhanced kinetics through Co addition,kinetic enhancement,220-280°C,"High capacity, enhanced kinetics through Co",Moderate temperature requirements,rule_based_extraction,0.8,data/raw_text/31.txt
32,Hydrogen storage properties of novel Ti-V-Mn-Cr quaternary BCC alloys,"J., Weng, Jian; P., Li, Ping; S., Zhou, Shan; Y., Xu, Yun",2025,10.1016/j.jallcom.2024.181567,Novel Ti-V-Mn-Cr quaternary BCC alloys were synthesized and characterized for hydrogen storage properties with focus on BCC structure advantages.,data/pdfs/2025_Weng.pdf,Ti-V-Mn-Cr quaternary BCC,3.1,BCC structure quaternary alloy,BCC synthesis,ambient to 150°C,"BCC structure advantages, ambient operation",Moderate capacity for BCC system,rule_based_extraction,0.75,data/raw_text/32.txt
